CRI_LATITUDE,CRI_LONGITUDE,CRI_HORARIO,CRI_ENDERECO
-3.73647685202811,-38.4531784057617,7,"Av. Zezé Diogo"
-3.74885293545563,-38.503475189209,20,"R. Visc. de Mauá"
-3.73459258870437,-38.4928107261658,19,"Av. Dom Luiz"
-3.79740274237416,-38.4979605674744,22,"R. Ulysses Bezerra"
-3.72344751673926,-38.5207056999207,16,"R. Franco Rabelo"
-3.74875658254073,-38.5023164749145,23,"Av. Des. Moreira"
-3.75583314058453,-38.4837341308594,21,"Av. Sebastião de Abreu"
-3.74427080730993,-38.472318649292,22,"Av. Santos Dumont"
-3.76061861706683,-38.5858619213104,15,"Av. Sen. Fernandes Távora"
-3.78765017670859,-38.5770535469055,8,"R. Leblom Maia"
-3.74153008368424,-38.4972524642944,18,"R. Carolina Sucupira"
-3.73529918792489,-38.5574090480805,3,"R. Gustavo Sampaio"
-3.82357675569339,-38.484935760498,13,"Av. Mem de Sá"
-3.81184404494338,-38.5263061523438,5,"R. Dr. Pedro Sampaio"
-3.77356175395683,-38.5129165649414,11,"Av. Raul Barbosa"
-3.81801016109264,-38.5307693481445,21,"R. Dez"
-3.81956238821827,-38.4936851263046,19,"R. Nicolau Coelho"
-3.76516854237898,-38.5508322715759,19,"R. Alberto Magno"
-3.73654108820646,-38.5677409172058,2,"Av. Bezerra de Menezes"
-3.74649763893863,-38.4952354431152,22,"R. Prof. Dias da Rocha"
-3.72358669718312,-38.5280013084412,9,"R. Barão de Rio Branco"
-3.69444397470072,-38.5822033882141,17,"R. Lídia Petri Gonçalves"
-3.77225567278449,-38.6104846000671,18,"Av. B"
-3.77653789879985,-38.5174441337586,18,"Viela Dr. Pedro Rocha"
-3.7138868382427,-38.5791993141174,3,"R. Gen. Mário Hermes"
-3.7510797554192,-38.5390090942383,8,"R. Antônio Mendes"
-3.69523625831869,-38.5810661315918,12,"R. Taperoaba"
-3.69932614357596,-38.5855722427368,13,"R. Ceci"
-3.71765544953671,-38.5507035255432,21,"Av. Ten. Lisboa"
-3.77349752050246,-38.5761094093323,3,"R. Des. Gomes Parente"
-3.78747889026946,-38.5389018058777,8,"R. Bruno Valente"
-3.75187198807644,-38.5300827026367,10,"R. Padre Leopoldo Fernandes"
-3.7695150370588,-38.5725259780884,15,"R. Matias Albuquerque"
-3.76146436968739,-38.5804224014282,15,"R. Jockey Clube"
-3.73617708313361,-38.5999274253845,0,"R. Ten. Lira"
-3.75955874870029,-38.5939407348633,21,"R. Porto Alegre"
-3.7525571616872,-38.5918378829956,23,"R. Roraima"
-3.74669034525548,-38.4794640541077,21,"Av. Padre Antônio Tomás"
-3.79321161485083,-38.4767657518387,15,"R. Marcelino Lopes"
-3.72785845548565,-38.4888732433319,11,"R. Frei Mansueto"
-3.72084590900924,-38.520770072937,20,"R. Boris"
-3.78615141921694,-38.5216283798218,3,"R. Pedro Dantas"
-3.77786538457609,-38.5750579833984,9,"R. Lígia"
-3.74589810790365,-38.4971451759338,16,"R. Cel. Linhares"
-3.74705434596042,-38.527979850769,16,"R. Dr. José Victor"
-3.7100753854551,-38.5961079597473,17,"R. Trinta e Três"
-3.79071191608774,-38.5368418693542,6,"R. Licânia"
-3.75609007958601,-38.5175943374634,11,"R. Monsenhor Salazar"
-3.77056418769322,-38.4724903106689,12,"R. Corvina"
-3.76720261894673,-38.5701656341553,12,"R. Minas Gerais"
-3.73105958407196,-38.5742211341858,16,"R. Des. Guimarães"
-3.71756979945883,-38.5716998577118,20,"R. Coelho Neto"
-3.77876464798038,-38.6072015762329,21,"R. Sousa Carvalho"
-3.82483993943838,-38.4906220436096,21,"R. Bartolomeu Dias"
-3.79884795404444,-38.4824895858765,22,"R. da Zina"
-3.84524331005609,-38.5031747817993,4,"R. Prof. José Milton"
-3.76073638013911,-38.5973525047302,9,"R. Santa Lúcia"
-3.72941084371418,-38.5526776313782,12,"R. Mozart Pinto"
-3.72125274529283,-38.5292887687683,0,"R. Gen. Sampaio"
-3.78238310320653,-38.5907649993896,15,"R. Primeiro de Maio"
-3.80450031421107,-38.5702085494995,18,"R. Gastão Justa"
-3.75679666145003,-38.5954213142395,18,"R. Prof. Vieira"
-3.76077920307055,-38.4807515144348,19,"R. Prof. Isaías Gomes"
-3.75364915601854,-38.569028377533,5,"R. Piauí"
-3.78266144529066,-38.55877161026,13,"R. Bogotá"
-3.73063134012058,-38.5582566261292,20,"R. Ipê"
-3.8244117417673,-38.5174870491028,21,"R. Cinco"
-3.80163131784799,-38.5906362533569,18,"R. Cmte. Garcia"
-3.75880934604742,-38.5758519172668,19,"R. Ribeiro Leitão"
-3.70615685224688,-38.5759377479553,19,"R. Estevão de Campos"
-3.73985995102043,-38.5979104042053,11,"R. São Vicente de Paula"
-3.75364915601854,-38.5974812507629,14,"R. Barão de Cotegipe"
